Comment,Designator,Footprint,LCSC,Quantity
AP2171WG-7,"U11,U7",SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C110466,2
HR8833,"U1,U2",TSSOP-16_4.4x5mm_P0.65mm,C128666,2
0.1u,C16,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C1525,1
10u,"C1,C5,C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,4
TP4056-42-ESOP8,U8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
0.01u,"C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,2
5R1,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17724,1
10K,"R15,R16",R1206,C17902,2
1R,"R1,R2",R1206,C17928,2
120pF,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C18438,1
0.39R,"R3,R4",R1206,C188072,2
TPS613222ADBVR,U5,SOT-23-5,C2071163,1
CJ78L05,U9,SOT-89-3,C2079,1
NMOS,Q2,SOT-23-3,C20917,1
1K,"R5,R6",R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C21190,2
HUSB237-AA001-DN06R,U6,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,C22373734,1
LED,D1,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C2286,1
LED,D3,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C2290,1
75K,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23242,1
1uF,"C12,C14,C17",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,3
2.2u,"C2,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,2
1.8K,R8,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C4177,1
SW_SPDT,SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,C431541,1
5.5K,R12,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C4382,1
USB_C_Receptacle_PowerOnly_6P,J2,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,C456012,1
22uF,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,1
AP2112K-3.3,U4,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,1
0.33u,C15,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,C5139492,1
3m,R9,R2512,C5375459,1
2.2uH,L1,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,C86092,1
SS34,D2,D_SMA,C8678,1
INA219AIDCNR,U10,SOT-23-8_Handsoldering,C87469,1
